,RR,TPP,SLP,comparedProfit
151,2.2857142857142856,0.032,0.014,-640.9999999999964
150,2.142857142857143,0.03,0.014,-1251.0000000000073
82,2.8333333333333335,0.034,0.012,-1468.999999999971
152,2.428571428571429,0.034,0.014,-1505.0000000000146
298,2.555555555555556,0.046000000000000006,0.018000000000000002,-1527.9999999999927
226,2.625,0.042,0.016,-1545.0000000000218
223,2.25,0.036000000000000004,0.016,-1556.9999999999964
1744,2.3793103448275863,0.138,0.058,-1598.0000000000073
12,3.4000000000000004,0.034,0.01,-1650.9999999999818
90,4.166666666666667,0.05,0.012,-1682.9999999999563
1958,2.2812500000000004,0.14600000000000002,0.064,-1692.9999999999927
1814,2.3,0.138,0.060000000000000005,-1795.000000000011
5,2.0,0.02,0.01,-1816.9999999999782
439,2.181818181818182,0.048,0.022,-1828.999999999989
79,2.3333333333333335,0.028000000000000004,0.012,-1912.9999999999927
437,2.0000000000000004,0.044000000000000004,0.022,-1916.9999999999927
9,2.8000000000000003,0.028000000000000004,0.01,-1936.99999999996
154,2.714285714285714,0.038,0.014,-1938.000000000011
224,2.375,0.038,0.016,-1974.0000000000182
229,3.0,0.048,0.016,-2024.9999999999854
149,2.0000000000000004,0.028000000000000004,0.014,-2063.000000000011
227,2.75,0.044000000000000004,0.016,-2130.0000000000036
85,3.3333333333333335,0.04,0.012,-2191.999999999978
369,2.4,0.048,0.02,-2280.0000000000327
509,2.0,0.048,0.024,-2285.0
2025,2.121212121212121,0.14,0.066,-2287.000000000011
10,3.0,0.03,0.01,-2324.9999999999927
2024,2.090909090909091,0.138,0.066,-2329.0
78,2.166666666666667,0.026000000000000002,0.012,-2346.9999999999927
221,2.0,0.032,0.016,-2368.9999999999673
19,4.8,0.048,0.01,-2383.999999999989
20,5.0,0.05,0.01,-2396.999999999978
15,4.0,0.04,0.01,-2412.0
2099,2.1764705882352944,0.14800000000000002,0.068,-2433.0000000000073
299,2.6666666666666665,0.048,0.018000000000000002,-2463.0000000000073
83,3.0000000000000004,0.036000000000000004,0.012,-2466.999999999982
2309,2.0000000000000004,0.14800000000000002,0.074,-2470.0
2023,2.0606060606060606,0.136,0.066,-2475.0000000000073
