,RR,TPP,SLP,comparedProfit
18,5,0.046000000000000006,0.01,695.0
103,3,0.026000000000000002,0.012,1.0000000000327418
16,5,0.042,0.01,-26.999999999989086
17,5,0.044000000000000004,0.01,-193.00000000000364
7,3,0.024,0.01,-319.00000000002547
8,3,0.026000000000000002,0.01,-546.9999999999891
5,2,0.02,0.01,-824.0000000000582
303,3,0.046000000000000006,0.016,-830.9999999999964
115,5,0.05,0.012,-853.9999999999964
15,4,0.04,0.01,-1003.0
131,7,0.082,0.012,-1019.9999999999818
106,3,0.032,0.012,-1202.0000000000036
12,4,0.034,0.01,-1263.0000000000036
105,3,0.03,0.012,-1289.0000000000036
1073,3,0.066,0.032,-1351.999999999989
104,3,0.028000000000000004,0.012,-1454.9999999999818
301,3,0.042,0.016,-1484.9999999999927
686,3,0.052000000000000005,0.024,-1514.0000000000036
116,5,0.052000000000000005,0.012,-1534.9999999999818
211,4,0.052000000000000005,0.014,-1556.999999999971
19,5,0.048,0.01,-1562.000000000011
102,2,0.024,0.012,-1582.9999999999964
113,4,0.046000000000000006,0.012,-1592.999999999971
14,4,0.038,0.01,-1650.9999999999927
309,4,0.058,0.016,-1661.000000000029
2533,3,0.136,0.062000000000000006,-1693.9999999999927
13,4,0.036000000000000004,0.01,-1708.0000000000182
308,4,0.056,0.016,-1728.0000000000218
588,3,0.046000000000000006,0.022,-1734.9999999999818
2532,3,0.134,0.062000000000000006,-1758.9999999999964
1895,4,0.19,0.048,-1844.0000000000036
208,4,0.046000000000000006,0.014,-1847.9999999999782
6,3,0.022,0.01,-1872.0000000000255
226,6,0.082,0.014,-1919.0000000000218
210,4,0.05,0.014,-1966.0
150,10,0.12,0.012,-1975.999999999989
327,6,0.094,0.016,-1978.999999999989
328,6,0.096,0.016,-1978.999999999989
2275,4,0.19,0.056,-2013.9999999999927
493,3,0.046000000000000006,0.02,-2045.9999999999818
11,4,0.032,0.01,-2045.9999999999854
10,3,0.03,0.01,-2054.000000000029
9,3,0.028000000000000004,0.01,-2085.0000000000146
