,RR,TPP,SLP,comparedProfit
9,3,0.028000000000000004,0.01,1014.0000000000109
7,3,0.024,0.01,894.9999999999964
8,3,0.026000000000000002,0.01,660.0
104,3,0.028000000000000004,0.012,403.0000000000218
10,3,0.03,0.01,365.0000000000109
199,3,0.028000000000000004,0.014,28.000000000025466
200,3,0.03,0.014,-50.999999999974534
102,2,0.024,0.012,-145.99999999999272
103,3,0.026000000000000002,0.012,-279.9999999999891
15,4,0.04,0.01,-286.99999999998545
13,4,0.036000000000000004,0.01,-293.9999999999927
203,3,0.036000000000000004,0.014,-340.9999999999782
105,3,0.03,0.012,-387.99999999997453
11,4,0.032,0.01,-405.9999999999891
14,4,0.038,0.01,-506.9999999999927
106,3,0.032,0.012,-565.9999999999782
5,2,0.02,0.01,-608.9999999999964
201,3,0.032,0.014,-752.9999999999782
12,4,0.034,0.01,-851.9999999999891
1964,3,0.138,0.05,-908.0
1962,3,0.134,0.05,-999.0
1963,3,0.136,0.05,-999.0
109,4,0.038,0.012,-1060.9999999999854
1961,3,0.132,0.05,-1113.0000000000036
1957,3,0.124,0.05,-1136.0
1956,3,0.122,0.05,-1136.0
1958,3,0.126,0.05,-1136.0
1959,3,0.128,0.05,-1136.0
1960,3,0.13,0.05,-1136.0
296,2,0.032,0.016,-1155.999999999989
1974,4,0.158,0.05,-1204.0
1973,4,0.156,0.05,-1204.0
393,2,0.036000000000000004,0.018000000000000002,-1206.9999999999854
205,3,0.04,0.014,-1273.9999999999782
108,4,0.036000000000000004,0.012,-1297.9999999999854
204,3,0.038,0.014,-1364.9999999999818
17,5,0.044000000000000004,0.01,-1364.9999999999927
16,5,0.042,0.01,-1414.9999999999927
396,3,0.042,0.018000000000000002,-1458.9999999999927
202,3,0.034,0.014,-1470.9999999999818
587,3,0.044000000000000004,0.022,-1490.0000000000073
1955,3,0.12,0.05,-1582.9999999999964
1954,3,0.118,0.05,-1582.9999999999964
1953,3,0.11599999999999999,0.05,-1582.9999999999964
397,3,0.044000000000000004,0.018000000000000002,-1586.0
297,3,0.034,0.016,-1587.9999999999818
883,3,0.066,0.028000000000000004,-1594.0000000000073
298,3,0.036000000000000004,0.016,-1602.9999999999854
490,2,0.04,0.02,-1653.0000000000036
1951,3,0.112,0.05,-1722.9999999999964
6,3,0.022,0.01,-1728.000000000011
1950,3,0.11,0.05,-1810.9999999999964
1949,3,0.108,0.05,-1846.9999999999964
1947,3,0.104,0.05,-1846.9999999999964
1948,3,0.106,0.05,-1846.9999999999964
394,3,0.038,0.018000000000000002,-1848.9999999999927
206,3,0.042,0.014,-1880.9999999999927
20,5,0.05,0.01,-1898.999999999989
2249,3,0.138,0.056,-2001.0000000000036
395,3,0.04,0.018000000000000002,-2007.0
1175,3,0.08,0.034,-2017.0
1946,3,0.102,0.05,-2017.9999999999927
1966,3,0.14200000000000002,0.05,-2050.9999999999964
21,6,0.052000000000000005,0.01,-2084.0000000000036
18,5,0.046000000000000006,0.01,-2084.9999999999927
2248,3,0.136,0.056,-2092.0000000000036
2247,3,0.134,0.056,-2092.0000000000036
2731,3,0.15200000000000002,0.066,-2099.000000000011
2730,3,0.15000000000000002,0.066,-2099.000000000011
2729,3,0.14800000000000002,0.066,-2099.000000000011
2727,3,0.14400000000000002,0.066,-2099.000000000011
2728,3,0.14600000000000002,0.066,-2099.000000000011
991,4,0.092,0.03,-2110.0000000000036
1965,3,0.14,0.05,-2126.9999999999964
1952,3,0.114,0.05,-2134.9999999999964
1174,3,0.078,0.034,-2147.0
299,3,0.038,0.016,-2150.999999999982
2246,3,0.132,0.056,-2206.0000000000073
2344,3,0.138,0.058,-2225.0000000000036
2243,3,0.126,0.056,-2229.0000000000036
2241,3,0.122,0.056,-2229.0000000000036
2245,3,0.13,0.056,-2229.0000000000036
2242,3,0.124,0.056,-2229.0000000000036
2244,3,0.128,0.056,-2229.0000000000036
693,3,0.066,0.024,-2254.000000000018
1656,3,0.092,0.044000000000000004,-2261.9999999999964
788,3,0.066,0.026000000000000002,-2287.0
1561,3,0.092,0.042,-2287.999999999989
1466,3,0.092,0.04,-2287.999999999989
2726,3,0.14200000000000002,0.066,-2312.000000000011
2343,3,0.136,0.058,-2316.0000000000036
2342,3,0.134,0.058,-2316.0000000000036
975,3,0.060000000000000005,0.03,-2363.9999999999927
207,4,0.044000000000000004,0.014,-2420.9999999999745
984,3,0.078,0.03,-2428.0000000000036
1271,3,0.082,0.036000000000000004,-2429.999999999982
2341,3,0.132,0.058,-2430.0000000000073
1179,3,0.088,0.034,-2434.0000000000073
1180,3,0.09,0.034,-2434.0000000000073
2826,3,0.15200000000000002,0.068,-2445.000000000011
2823,3,0.14600000000000002,0.068,-2445.000000000011
2824,3,0.14800000000000002,0.068,-2445.000000000011
2822,3,0.14400000000000002,0.068,-2445.000000000011
2825,3,0.15000000000000002,0.068,-2445.000000000011
116,5,0.052000000000000005,0.012,-2445.999999999989
1080,3,0.08,0.032,-2448.0
882,3,0.064,0.028000000000000004,-2448.0000000000146
2337,3,0.124,0.058,-2453.0000000000036
2340,3,0.13,0.058,-2453.0000000000036
2336,3,0.122,0.058,-2453.0000000000036
2338,3,0.126,0.058,-2453.0000000000036
2339,3,0.128,0.058,-2453.0000000000036
2259,3,0.158,0.056,-2466.0000000000036
2258,3,0.156,0.056,-2466.0000000000036
1270,3,0.08,0.036000000000000004,-2481.999999999982
985,3,0.08,0.03,-2503.9999999999964
1181,3,0.092,0.034,-2515.0
1186,3,0.102,0.034,-2524.9999999999964
787,3,0.064,0.026000000000000002,-2539.0000000000073
3015,3,0.15000000000000002,0.072,-2551.000000000011
3016,3,0.15200000000000002,0.072,-2551.000000000011
