,RR,TPP,SLP,comparedProfit
3400,2,0.16,0.08,-211.0
3401,3,0.162,0.08,-211.0
3306,3,0.162,0.078,-211.0
3305,3,0.16,0.078,-211.0
3304,3,0.158,0.078,-211.0
3303,2,0.156,0.078,-211.0
3211,3,0.162,0.076,-213.00000000000364
3210,3,0.16,0.076,-213.00000000000364
3208,3,0.156,0.076,-213.00000000000364
3209,3,0.158,0.076,-213.00000000000364
3115,3,0.16,0.074,-985.9999999999964
3116,3,0.162,0.074,-985.9999999999964
3114,3,0.158,0.074,-985.9999999999964
3113,3,0.156,0.074,-985.9999999999964
2164,3,0.158,0.054,-1359.9999999999964
2163,3,0.156,0.054,-1359.9999999999964
1973,4,0.156,0.05,-1359.9999999999964
1974,4,0.158,0.05,-1359.9999999999964
1690,4,0.16,0.044000000000000004,-1359.9999999999964
1976,4,0.162,0.05,-1359.9999999999964
2165,3,0.16,0.054,-1359.9999999999964
1783,4,0.156,0.046000000000000006,-1359.9999999999964
1784,4,0.158,0.046000000000000006,-1359.9999999999964
1785,4,0.16,0.046000000000000006,-1359.9999999999964
1786,4,0.162,0.046000000000000006,-1359.9999999999964
2166,3,0.162,0.054,-1359.9999999999964
1975,4,0.16,0.05,-1359.9999999999964
1691,4,0.162,0.044000000000000004,-1359.9999999999964
2070,4,0.16,0.052000000000000005,-1359.9999999999964
1688,4,0.156,0.044000000000000004,-1359.9999999999964
1878,4,0.156,0.048,-1359.9999999999964
1879,4,0.158,0.048,-1359.9999999999964
1880,4,0.16,0.048,-1359.9999999999964
1881,4,0.162,0.048,-1359.9999999999964
2071,4,0.162,0.052000000000000005,-1359.9999999999964
1689,4,0.158,0.044000000000000004,-1359.9999999999964
2068,3,0.156,0.052000000000000005,-1359.9999999999964
2069,4,0.158,0.052000000000000005,-1359.9999999999964
2451,3,0.162,0.060000000000000005,-1536.9999999999964
2356,3,0.162,0.058,-1536.9999999999964
2449,3,0.158,0.060000000000000005,-1536.9999999999964
2448,3,0.156,0.060000000000000005,-1536.9999999999964
2353,3,0.156,0.058,-1536.9999999999964
2354,3,0.158,0.058,-1536.9999999999964
2355,3,0.16,0.058,-1536.9999999999964
2450,3,0.16,0.060000000000000005,-1536.9999999999964
1120,5,0.16,0.032,-1621.9999999999964
1121,6,0.162,0.032,-1621.9999999999964
1118,5,0.156,0.032,-1621.9999999999964
1119,5,0.158,0.032,-1621.9999999999964
658,9,0.186,0.022,-1853.0
659,9,0.188,0.022,-1853.0
660,9,0.19,0.022,-1853.0
1113,5,0.14600000000000002,0.032,-2120.000000000011
1114,5,0.14800000000000002,0.032,-2120.000000000011
1115,5,0.15000000000000002,0.032,-2120.000000000011
1111,5,0.14200000000000002,0.032,-2120.000000000011
1112,5,0.14400000000000002,0.032,-2120.000000000011
2268,4,0.17600000000000002,0.056,-2184.0000000000036
2267,4,0.17400000000000002,0.056,-2184.0000000000036
2266,4,0.17200000000000001,0.056,-2184.0000000000036
2265,4,0.17,0.056,-2184.0000000000036
1465,3,0.09,0.04,-2201.0000000000073
1498,4,0.156,0.04,-2344.0
1501,5,0.162,0.04,-2344.0
1499,4,0.158,0.04,-2344.0
1500,4,0.16,0.04,-2344.0
102,2,0.024,0.012,-2346.9999999999927
2262,3,0.164,0.056,-2389.0000000000073
2263,3,0.166,0.056,-2389.0000000000073
2264,3,0.168,0.056,-2389.0000000000073
1109,5,0.138,0.032,-2393.000000000011
1108,5,0.136,0.032,-2393.000000000011
1110,5,0.14,0.032,-2393.000000000011
1655,3,0.09,0.044000000000000004,-2414.0000000000036
1085,3,0.09,0.032,-2470.0000000000073
2528,3,0.126,0.062000000000000006,-2620.0000000000036
393,2,0.036000000000000004,0.018000000000000002,-2621.000000000011
2261,3,0.162,0.056,-2629.0000000000073
1073,3,0.066,0.032,-2713.0000000000073
1075,3,0.06999999999999999,0.032,-2713.0000000000073
1074,3,0.068,0.032,-2713.0000000000073
1493,4,0.14600000000000002,0.04,-2776.000000000011
1492,4,0.14400000000000002,0.04,-2776.000000000011
1491,4,0.14200000000000002,0.04,-2776.000000000011
617,5,0.104,0.022,-2809.0000000000036
616,5,0.102,0.022,-2809.0000000000036
615,5,0.09999999999999999,0.022,-2809.0000000000036
2648,3,0.17600000000000002,0.064,-2845.0000000000036
2743,3,0.17600000000000002,0.066,-2845.0000000000036
2553,3,0.17600000000000002,0.062000000000000006,-2845.0000000000036
1560,3,0.09,0.042,-2876.0000000000036
5,2,0.02,0.01,-2898.0000000000146
1116,5,0.15200000000000002,0.032,-2962.0000000000036
1117,5,0.15400000000000003,0.032,-2962.0000000000036
2256,3,0.15200000000000002,0.056,-2963.0000000000036
2255,3,0.15000000000000002,0.056,-2963.0000000000036
2260,3,0.16,0.056,-2963.0000000000036
2259,3,0.158,0.056,-2963.0000000000036
