,RR,TPP,SLP,comparedProfit
201,3,0.032,0.014,3617.9999999999927
105,3,0.03,0.012,3611.999999999971
296,2,0.032,0.016,3424.0
200,3,0.03,0.014,3135.0
299,3,0.038,0.016,2882.0
9,3,0.028000000000000004,0.01,2752.9999999999454
202,3,0.034,0.014,2672.0
106,3,0.032,0.012,2598.9999999999927
297,3,0.034,0.016,2505.0
204,3,0.038,0.014,2411.9999999999745
8,3,0.026000000000000002,0.01,2272.999999999971
205,3,0.04,0.014,2250.999999999978
298,3,0.036000000000000004,0.016,2242.0000000000073
10,3,0.03,0.01,2189.999999999978
7,3,0.024,0.01,2112.9999999999673
207,4,0.044000000000000004,0.014,1787.9999999999745
203,3,0.036000000000000004,0.014,1741.9999999999818
206,3,0.042,0.014,1699.9999999999782
304,3,0.048,0.016,1666.9999999999818
303,3,0.046000000000000006,0.016,1631.9999999999818
300,3,0.04,0.016,1560.9999999999854
104,3,0.028000000000000004,0.012,1419.9999999999927
302,3,0.044000000000000004,0.016,1390.0000000000036
301,3,0.042,0.016,1270.9999999999854
11,4,0.032,0.01,1168.0000000000182
208,4,0.046000000000000006,0.014,1165.9999999999854
307,4,0.054,0.016,1140.9999999999964
494,3,0.048,0.02,1040.9999999999854
5,2,0.02,0.01,1028.9999999999382
102,2,0.024,0.012,907.9999999999782
492,3,0.044000000000000004,0.02,870.9999999999854
213,4,0.056,0.014,861.0000000000146
103,3,0.026000000000000002,0.012,789.0000000000109
199,3,0.028000000000000004,0.014,773.9999999999782
490,2,0.04,0.02,697.9999999999891
308,4,0.056,0.016,694.0
493,3,0.046000000000000006,0.02,614.9999999999854
111,4,0.042,0.012,603.9999999999891
209,4,0.048,0.014,418.99999999998545
113,4,0.046000000000000006,0.012,366.99999999996726
309,4,0.058,0.016,300.9999999999927
114,4,0.048,0.012,185.99999999995998
212,4,0.054,0.014,174.9999999999818
397,3,0.044000000000000004,0.018000000000000002,108.00000000000728
109,4,0.038,0.012,52.99999999996726
305,4,0.05,0.016,-80.00000000002547
6,3,0.022,0.01,-105.00000000002547
110,4,0.04,0.012,-123.00000000001091
491,3,0.042,0.02,-152.00000000001455
210,4,0.05,0.014,-213.0000000000182
214,5,0.058,0.014,-292.00000000000364
107,3,0.034,0.012,-338.9999999999927
112,4,0.044000000000000004,0.012,-376.0000000000109
217,5,0.064,0.014,-387.9999999999927
395,3,0.04,0.018000000000000002,-412.00000000000364
18,5,0.046000000000000006,0.01,-431.00000000004366
306,4,0.052000000000000005,0.016,-495.0000000000109
396,3,0.042,0.018000000000000002,-499.9999999999891
122,6,0.064,0.012,-560.0000000000291
126,6,0.072,0.012,-574.0000000000255
19,5,0.048,0.01,-685.0000000000473
393,2,0.036000000000000004,0.018000000000000002,-708.9999999999964
234,7,0.09799999999999999,0.014,-711.0000000000036
116,5,0.052000000000000005,0.012,-751.00000000004
587,3,0.044000000000000004,0.022,-773.0000000000109
233,7,0.096,0.014,-794.0000000000182
12,4,0.034,0.01,-826.9999999999891
211,4,0.052000000000000005,0.014,-848.0000000000146
17,5,0.044000000000000004,0.01,-851.9999999999964
215,5,0.060000000000000005,0.014,-863.0
313,5,0.066,0.016,-868.0
227,6,0.08399999999999999,0.014,-872.9999999999927
495,3,0.05,0.02,-902.0000000000255
496,3,0.052000000000000005,0.02,-905.0000000000255
231,7,0.092,0.014,-911.0000000000109
232,7,0.094,0.014,-920.0000000000109
226,6,0.082,0.014,-942.0
684,2,0.048,0.024,-943.0000000000255
589,3,0.048,0.022,-959.0000000000036
310,4,0.060000000000000005,0.016,-975.0000000000109
148,10,0.11599999999999999,0.012,-1048.0000000000146
230,7,0.09,0.014,-1050.9999999999964
229,7,0.088,0.014,-1087.0
16,5,0.042,0.01,-1130.9999999999964
124,6,0.068,0.012,-1139.000000000029
312,4,0.064,0.016,-1141.9999999999927
407,4,0.064,0.018000000000000002,-1142.0000000000073
221,6,0.072,0.014,-1170.0
519,5,0.09799999999999999,0.02,-1179.0000000000036
399,3,0.048,0.018000000000000002,-1230.0000000000146
314,5,0.068,0.016,-1240.9999999999964
216,5,0.062000000000000006,0.014,-1255.999999999989
15,4,0.04,0.01,-1257.000000000011
238,8,0.106,0.014,-1266.0000000000073
400,3,0.05,0.018000000000000002,-1294.9999999999854
228,7,0.086,0.014,-1320.9999999999964
502,4,0.064,0.02,-1342.0000000000146
329,7,0.09799999999999999,0.016,-1357.9999999999964
143,9,0.106,0.012,-1362.0000000000146
108,4,0.036000000000000004,0.012,-1369.0000000000036
328,6,0.096,0.016,-1397.000000000011
14,4,0.038,0.01,-1406.000000000029
394,3,0.038,0.018000000000000002,-1425.000000000011
424,6,0.09799999999999999,0.018000000000000002,-1442.9999999999927
398,3,0.046000000000000006,0.018000000000000002,-1462.0000000000073
994,4,0.09799999999999999,0.03,-1470.9999999999927
139,9,0.09799999999999999,0.012,-1485.0000000000182
499,3,0.058,0.02,-1510.0000000000182
590,3,0.05,0.022,-1511.000000000011
503,4,0.066,0.02,-1512.0000000000073
516,5,0.092,0.02,-1516.0000000000073
588,3,0.046000000000000006,0.022,-1534.000000000011
147,10,0.114,0.012,-1543.0000000000146
123,6,0.066,0.012,-1544.0000000000255
121,6,0.062000000000000006,0.012,-1559.0000000000255
125,6,0.06999999999999999,0.012,-1570.0000000000255
406,4,0.062000000000000006,0.018000000000000002,-1576.9999999999964
138,8,0.096,0.012,-1599.0000000000182
887,3,0.074,0.028000000000000004,-1608.0000000000036
504,4,0.068,0.02,-1616.9999999999964
685,3,0.05,0.024,-1625.0000000000218
899,4,0.09799999999999999,0.028000000000000004,-1636.9999999999964
498,3,0.056,0.02,-1654.0000000000146
497,3,0.054,0.02,-1658.0000000000036
501,4,0.062000000000000006,0.02,-1667.0000000000146
404,4,0.058,0.018000000000000002,-1676.9999999999964
311,4,0.062000000000000006,0.016,-1677.9999999999964
1178,3,0.086,0.034,-1680.0000000000073
326,6,0.092,0.016,-1682.0000000000073
235,8,0.09999999999999999,0.014,-1684.0000000000073
1182,3,0.094,0.034,-1687.9999999999964
327,6,0.094,0.016,-1691.0000000000073
1169,2,0.068,0.034,-1692.9999999999927
239,8,0.108,0.014,-1694.0000000000073
333,7,0.106,0.016,-1695.0000000000073
1089,4,0.09799999999999999,0.032,-1695.9999999999927
1075,3,0.06999999999999999,0.032,-1701.0000000000036
879,3,0.058,0.028000000000000004,-1706.000000000011
185,16,0.19,0.012,-1718.0000000000036
2924,3,0.158,0.06999999999999999,-1720.0000000000036
980,3,0.06999999999999999,0.03,-1727.0000000000036
1192,4,0.114,0.034,-1731.0
1191,4,0.112,0.034,-1731.0
423,6,0.096,0.018000000000000002,-1759.0000000000036
2923,3,0.156,0.06999999999999999,-1770.0000000000036
237,8,0.104,0.014,-1771.0000000000036
1177,3,0.08399999999999999,0.034,-1780.0000000000073
316,5,0.072,0.016,-1788.0
1181,3,0.092,0.034,-1790.9999999999927
528,6,0.11599999999999999,0.02,-1806.0000000000036
526,6,0.112,0.02,-1809.000000000011
409,4,0.068,0.018000000000000002,-1809.9999999999964
186,16,0.192,0.012,-1812.0000000000073
140,9,0.09999999999999999,0.012,-1818.000000000011
426,6,0.102,0.018000000000000002,-1823.0
425,6,0.09999999999999999,0.018000000000000002,-1823.0
42,10,0.094,0.01,-1824.0
694,3,0.068,0.024,-1842.0000000000073
325,6,0.09,0.016,-1854.9999999999927
402,3,0.054,0.018000000000000002,-1871.9999999999964
137,8,0.094,0.012,-1872.0000000000036
614,5,0.09799999999999999,0.022,-1875.0
517,5,0.094,0.02,-1877.000000000011
331,7,0.102,0.016,-1880.0000000000036
330,7,0.09999999999999999,0.016,-1880.0000000000036
135,8,0.09,0.012,-1880.000000000011
136,8,0.092,0.012,-1880.000000000011
525,6,0.11,0.02,-1886.000000000011
144,9,0.108,0.012,-1891.0000000000146
334,7,0.108,0.016,-1897.0
709,5,0.09799999999999999,0.024,-1898.9999999999927
518,5,0.096,0.02,-1899.0000000000036
500,3,0.060000000000000005,0.02,-1900.0000000000218
884,3,0.068,0.028000000000000004,-1904.0000000000073
1001,4,0.112,0.03,-1908.0000000000036
1188,4,0.106,0.034,-1909.9999999999964
1189,4,0.108,0.034,-1909.9999999999964
597,3,0.064,0.022,-1923.9999999999927
523,6,0.106,0.02,-1929.0000000000073
2339,3,0.128,0.058,-1934.9999999999927
1190,4,0.11,0.034,-1942.9999999999964
979,3,0.068,0.03,-1948.0000000000036
1096,4,0.112,0.032,-1951.0000000000036
1179,3,0.088,0.034,-1966.0000000000146
236,8,0.102,0.014,-1972.0000000000073
781,2,0.052000000000000005,0.026000000000000002,-1978.0000000000146
2434,3,0.128,0.060000000000000005,-1978.9999999999927
3019,3,0.158,0.072,-1981.000000000011
524,6,0.108,0.02,-1982.000000000011
981,3,0.072,0.03,-1987.0000000000073
20,5,0.05,0.01,-2004.00000000004
420,5,0.09,0.018000000000000002,-2004.9999999999964
527,6,0.114,0.02,-2005.0000000000073
115,5,0.05,0.012,-2013.0000000000218
281,14,0.192,0.014,-2014.0
119,5,0.058,0.012,-2017.0000000000327
1074,3,0.068,0.032,-2029.0
3018,3,0.156,0.072,-2031.000000000011
2922,3,0.15400000000000003,0.06999999999999999,-2032.0000000000036
145,10,0.11,0.012,-2032.000000000011
2433,3,0.126,0.060000000000000005,-2037.0
37,9,0.08399999999999999,0.01,-2044.0000000000073
146,10,0.112,0.012,-2049.0000000000146
220,5,0.06999999999999999,0.014,-2049.0000000000255
