,RR,TPP,SLP,comparedProfit
54,2.166666666666667,0.026000000000000002,0.012,150.00000000000728
60,3.1666666666666665,0.038,0.012,-9.499999999998181
7,2.4,0.024,0.01,-55.99999999999636
248,2.3000000000000003,0.046000000000000006,0.02,-197.99999999999454
245,2.0,0.04,0.02,-207.99999999999818
249,2.4,0.048,0.02,-211.49999999999818
59,3.0000000000000004,0.036000000000000004,0.012,-212.5000000000109
8,2.6,0.026000000000000002,0.01,-278.4999999999982
14,3.8,0.038,0.01,-283.0000000000018
152,2.375,0.038,0.016,-296.49999999999636
247,2.2,0.044000000000000004,0.02,-316.0000000000018
6,2.1999999999999997,0.022,0.01,-397.9999999999982
5,2.0,0.02,0.01,-432.50000000001455
58,2.8333333333333335,0.034,0.012,-478.50000000000364
53,2.0,0.024,0.012,-481.0
13,3.6000000000000005,0.036000000000000004,0.01,-547.5000000000109
341,2.0,0.048,0.024,-552.9999999999927
251,2.6,0.052000000000000005,0.02,-553.0
30,6.999999999999999,0.06999999999999999,0.01,-590.0000000000036
293,2.0000000000000004,0.044000000000000004,0.022,-641.9999999999836
9,2.8000000000000003,0.028000000000000004,0.01,-655.0
11,3.2,0.032,0.01,-679.9999999999909
61,3.3333333333333335,0.04,0.012,-685.4999999999945
344,2.25,0.054,0.024,-737.5000000000018
250,2.5,0.05,0.02,-749.4999999999982
345,2.3333333333333335,0.056,0.024,-779.9999999999909
57,2.6666666666666665,0.032,0.012,-828.0
105,2.5714285714285716,0.036000000000000004,0.014,-829.4999999999854
342,2.0833333333333335,0.05,0.024,-894.9999999999909
165,4.0,0.064,0.016,-929.4999999999891
259,3.4000000000000004,0.068,0.02,-938.9999999999964
12,3.4000000000000004,0.034,0.01,-939.5000000000127
55,2.3333333333333335,0.028000000000000004,0.012,-952.4999999999982
75,5.666666666666667,0.068,0.012,-959.9999999999982
154,2.625,0.042,0.016,-981.4999999999764
29,6.800000000000001,0.068,0.01,-984.5
16,4.2,0.042,0.01,-1001.5000000000055
252,2.6999999999999997,0.054,0.02,-1047.4999999999927
351,2.8333333333333335,0.068,0.024,-1048.9999999999982
246,2.1,0.042,0.02,-1053.5000000000018
352,2.9166666666666665,0.06999999999999999,0.024,-1096.5000000000018
164,3.8750000000000004,0.062000000000000006,0.016,-1100.4999999999982
76,5.833333333333333,0.06999999999999999,0.012,-1118.5
151,2.25,0.036000000000000004,0.016,-1135.9999999999818
158,3.125,0.05,0.016,-1138.4999999999782
260,3.4999999999999996,0.06999999999999999,0.02,-1146.4999999999927
101,2.0000000000000004,0.028000000000000004,0.014,-1156.4999999999873
63,3.666666666666667,0.044000000000000004,0.012,-1177.000000000011
17,4.4,0.044000000000000004,0.01,-1181.5
257,3.2,0.064,0.02,-1190.0000000000018
253,2.8,0.056,0.02,-1194.0000000000036
167,4.25,0.068,0.016,-1206.9999999999836
66,4.166666666666667,0.05,0.012,-1207.9999999999818
350,2.75,0.066,0.024,-1213.9999999999982
199,2.222222222222222,0.04,0.018000000000000002,-1237.499999999991
485,2.0000000000000004,0.060000000000000005,0.03,-1237.5
343,2.166666666666667,0.052000000000000005,0.024,-1251.999999999991
31,7.199999999999999,0.072,0.01,-1259.4999999999964
297,2.363636363636364,0.052000000000000005,0.022,-1264.9999999999927
74,5.5,0.066,0.012,-1279.5
56,2.5,0.03,0.012,-1280.4999999999927
198,2.1111111111111107,0.038,0.018000000000000002,-1280.999999999991
15,4.0,0.04,0.01,-1288.0
299,2.545454545454546,0.056,0.022,-1291.4999999999964
27,6.4,0.064,0.01,-1294.4999999999964
28,6.6000000000000005,0.066,0.01,-1307.9999999999964
155,2.75,0.044000000000000004,0.016,-1326.4999999999727
77,5.999999999999999,0.072,0.012,-1333.499999999991
72,5.166666666666667,0.062000000000000006,0.012,-1336.5
65,4.0,0.048,0.012,-1340.4999999999873
18,4.6000000000000005,0.046000000000000006,0.01,-1357.9999999999964
10,3.0,0.03,0.01,-1358.499999999989
106,2.714285714285714,0.038,0.014,-1359.9999999999818
166,4.125,0.066,0.016,-1372.4999999999945
258,3.3000000000000003,0.066,0.02,-1377.9999999999854
26,6.2,0.062000000000000006,0.01,-1380.4999999999982
168,4.374999999999999,0.06999999999999999,0.016,-1396.4999999999964
213,3.7777777777777777,0.068,0.018000000000000002,-1397.4999999999927
389,2.0,0.052000000000000005,0.026000000000000002,-1412.9999999999854
73,5.333333333333333,0.064,0.012,-1430.9999999999982
533,2.0,0.064,0.032,-1436.9999999999982
256,3.1,0.062000000000000006,0.02,-1438.4999999999945
153,2.5,0.04,0.016,-1464.9999999999836
64,3.833333333333334,0.046000000000000006,0.012,-1467.5000000000018
121,4.857142857142858,0.068,0.014,-1484.499999999989
62,3.5,0.042,0.012,-1486.4999999999964
104,2.428571428571429,0.034,0.014,-1514.9999999999982
157,3.0,0.048,0.016,-1517.99999999998
25,6.0,0.060000000000000005,0.01,-1518.9999999999982
274,4.8999999999999995,0.09799999999999999,0.02,-1522.4999999999982
261,3.5999999999999996,0.072,0.02,-1531.9999999999964
120,4.714285714285714,0.066,0.014,-1533.9999999999927
296,2.272727272727273,0.05,0.022,-1542.49999999998
108,3.0,0.042,0.014,-1543.4999999999927
295,2.181818181818182,0.048,0.022,-1543.9999999999818
113,3.7142857142857144,0.052000000000000005,0.014,-1546.999999999991
197,2.0,0.036000000000000004,0.018000000000000002,-1549.9999999999964
111,3.4285714285714284,0.048,0.014,-1565.999999999989
102,2.142857142857143,0.03,0.014,-1572.999999999991
348,2.5833333333333335,0.062000000000000006,0.024,-1577.4999999999964
271,4.6,0.092,0.02,-1588.9999999999982
486,2.066666666666667,0.062000000000000006,0.03,-1589.4999999999964
298,2.4545454545454546,0.054,0.022,-1606.499999999991
273,4.8,0.096,0.02,-1625.4999999999964
390,2.0769230769230766,0.054,0.026000000000000002,-1633.4999999999854
294,2.0909090909090913,0.046000000000000006,0.022,-1633.9999999999873
109,3.1428571428571432,0.044000000000000004,0.014,-1647.9999999999964
397,2.6153846153846154,0.068,0.026000000000000002,-1650.5000000000036
107,2.857142857142857,0.04,0.014,-1652.9999999999764
163,3.75,0.060000000000000005,0.016,-1655.4999999999982
69,4.666666666666667,0.056,0.012,-1659.5000000000018
211,3.5555555555555554,0.064,0.018000000000000002,-1674.9999999999927
398,2.6923076923076916,0.06999999999999999,0.026000000000000002,-1679.9999999999982
169,4.5,0.072,0.016,-1680.499999999989
205,2.888888888888889,0.052000000000000005,0.018000000000000002,-1691.4999999999964
320,4.454545454545454,0.09799999999999999,0.022,-1692.4999999999982
103,2.2857142857142856,0.032,0.014,-1693.000000000009
347,2.5,0.060000000000000005,0.024,-1694.0
262,3.6999999999999997,0.074,0.02,-1701.9999999999945
487,2.1333333333333333,0.064,0.03,-1705.4999999999982
391,2.1538461538461537,0.056,0.026000000000000002,-1718.9999999999964
396,2.5384615384615383,0.066,0.026000000000000002,-1720.0000000000018
202,2.555555555555556,0.046000000000000006,0.018000000000000002,-1731.4999999999927
204,2.7777777777777777,0.05,0.018000000000000002,-1733.4999999999945
214,3.888888888888888,0.06999999999999999,0.018000000000000002,-1745.5
181,6.0,0.096,0.016,-1753.9999999999927
150,2.125,0.034,0.016,-1755.9999999999982
826,2.2272727272727266,0.09799999999999999,0.044000000000000004,-1757.0
439,2.142857142857143,0.060000000000000005,0.028000000000000004,-1765.4999999999982
318,4.272727272727273,0.094,0.022,-1768.9999999999945
215,3.999999999999999,0.072,0.018000000000000002,-1772.9999999999945
203,2.6666666666666665,0.048,0.018000000000000002,-1784.4999999999873
270,4.5,0.09,0.02,-1796.9999999999927
366,4.083333333333333,0.09799999999999999,0.024,-1799.5000000000018
275,4.999999999999999,0.09999999999999999,0.02,-1803.4999999999982
71,5.0,0.060000000000000005,0.012,-1804.5000000000036
321,4.545454545454545,0.09999999999999999,0.022,-1807.9999999999945
255,3.0,0.060000000000000005,0.02,-1824.5000000000018
272,4.7,0.094,0.02,-1828.9999999999945
824,2.1363636363636362,0.094,0.044000000000000004,-1839.9999999999982
354,3.083333333333333,0.074,0.024,-1845.0000000000036
357,3.3333333333333335,0.08,0.024,-1848.5
70,4.833333333333333,0.058,0.012,-1848.500000000009
81,6.666666666666667,0.08,0.012,-1849.0
201,2.444444444444444,0.044000000000000004,0.018000000000000002,-1857.4999999999927
305,3.0909090909090913,0.068,0.022,-1864.4999999999982
872,2.1304347826086953,0.09799999999999999,0.046000000000000006,-1865.5
823,2.090909090909091,0.092,0.044000000000000004,-1865.5000000000018
534,2.0625,0.066,0.032,-1873.4999999999964
458,3.499999999999999,0.09799999999999999,0.028000000000000004,-1876.5000000000018
117,4.285714285714286,0.060000000000000005,0.014,-1887.9999999999945
182,6.124999999999999,0.09799999999999999,0.016,-1898.4999999999964
22,5.3999999999999995,0.054,0.01,-1905.4999999999964
212,3.6666666666666665,0.066,0.018000000000000002,-1906.999999999991
731,2.3,0.092,0.04,-1907.5000000000055
319,4.363636363636364,0.096,0.022,-1909.4999999999945
160,3.375,0.054,0.016,-1916.999999999991
504,3.2666666666666666,0.09799999999999999,0.03,-1926.4999999999982
310,3.545454545454546,0.078,0.022,-1928.9999999999964
183,6.249999999999999,0.09999999999999999,0.016,-1930.4999999999927
209,3.333333333333333,0.060000000000000005,0.018000000000000002,-1935.9999999999945
367,4.166666666666666,0.09999999999999999,0.024,-1935.9999999999982
19,4.8,0.048,0.01,-1936.999999999989
311,3.6363636363636367,0.08,0.022,-1941.4999999999945
356,3.25,0.078,0.024,-1943.0000000000055
161,3.5,0.056,0.016,-1947.4999999999818
490,2.333333333333333,0.06999999999999999,0.03,-1947.9999999999945
