,RR,TPP,SLP,comparedProfit
7,2.4,0.024,0.01,-93.2000000000171
28,2.166666666666667,0.026000000000000002,0.012,-222.40000000000782
27,2.0,0.024,0.012,-258.39999999998963
49,2.0000000000000004,0.028000000000000004,0.014,-307.2000000000062
8,2.6,0.026000000000000002,0.01,-315.4000000000078
6,2.1999999999999997,0.022,0.01,-341.19999999999254
9,2.8000000000000003,0.028000000000000004,0.01,-359.4000000000069
29,2.3333333333333335,0.028000000000000004,0.012,-360.6000000000113
31,2.6666666666666665,0.032,0.012,-388.6000000000204
50,2.142857142857143,0.03,0.014,-406.0000000000009
14,3.8,0.038,0.01,-416.00000000001
5,2.0,0.02,0.01,-423.9999999999991
56,3.0,0.042,0.014,-435.0000000000018
71,2.0,0.032,0.016,-458.0000000000073
58,3.285714285714286,0.046000000000000006,0.014,-477.40000000001055
57,3.1428571428571432,0.044000000000000004,0.014,-485.8000000000029
75,2.5,0.04,0.016,-510.39999999999964
35,3.3333333333333335,0.04,0.012,-518.2000000000062
10,3.0,0.03,0.01,-528.5999999999958
17,4.4,0.044000000000000004,0.01,-540.6000000000095
15,4.0,0.04,0.01,-550.0000000000036
36,3.5,0.042,0.012,-550.2000000000071
94,2.1111111111111107,0.038,0.018000000000000002,-573.4000000000087
98,2.555555555555556,0.046000000000000006,0.018000000000000002,-574.1999999999962
96,2.333333333333333,0.042,0.018000000000000002,-582.3999999999987
55,2.857142857142857,0.04,0.014,-585.8000000000038
59,3.4285714285714284,0.048,0.014,-592.3999999999996
117,2.2,0.044000000000000004,0.02,-599.4000000000005
116,2.1,0.042,0.02,-602.5999999999985
39,4.0,0.048,0.012,-627.4000000000005
137,2.0000000000000004,0.044000000000000004,0.022,-636.9999999999991
52,2.428571428571429,0.034,0.014,-639.0000000000027
54,2.714285714285714,0.038,0.014,-641.400000000006
11,3.2,0.032,0.01,-641.7999999999993
51,2.2857142857142856,0.032,0.014,-642.2000000000135
37,3.666666666666667,0.044000000000000004,0.012,-650.8000000000056
34,3.1666666666666665,0.038,0.012,-654.6000000000076
93,2.0,0.036000000000000004,0.018000000000000002,-658.4000000000033
30,2.5,0.03,0.012,-658.8000000000111
16,4.2,0.042,0.01,-671.4000000000051
115,2.0,0.04,0.02,-671.5999999999995
95,2.222222222222222,0.04,0.018000000000000002,-672.5999999999995
138,2.0909090909090913,0.046000000000000006,0.022,-674.3999999999942
74,2.375,0.038,0.016,-674.6000000000085
33,3.0000000000000004,0.036000000000000004,0.012,-687.2000000000144
77,2.75,0.044000000000000004,0.016,-712.7999999999993
18,4.6000000000000005,0.046000000000000006,0.01,-716.4000000000069
32,2.8333333333333335,0.034,0.012,-719.6000000000176
72,2.125,0.034,0.016,-742.8000000000093
53,2.5714285714285716,0.036000000000000004,0.014,-756.4000000000078
76,2.625,0.042,0.016,-757.7999999999975
13,3.6000000000000005,0.036000000000000004,0.01,-761.6000000000095
12,3.4000000000000004,0.034,0.01,-781.9999999999936
19,4.8,0.048,0.01,-783.9999999999918
159,2.0,0.048,0.024,-799.8000000000002
97,2.444444444444444,0.044000000000000004,0.018000000000000002,-833.3999999999987
118,2.3000000000000003,0.046000000000000006,0.02,-837.3999999999969
38,3.833333333333334,0.046000000000000006,0.012,-847.4000000000042
99,2.6666666666666665,0.048,0.018000000000000002,-861.7999999999993
73,2.25,0.036000000000000004,0.016,-888.6000000000067
139,2.181818181818182,0.048,0.022,-891.3999999999942
78,2.8750000000000004,0.046000000000000006,0.016,-936.1999999999971
79,3.0,0.048,0.016,-1025.5999999999967
119,2.4,0.048,0.02,-1036.399999999996
