,RR,TPP,SLP,comparedProfit
684,2,0.048,0.024,-430.00000000002547
5,2,0.02,0.01,-861.0000000000364
113,4,0.046000000000000006,0.012,-866.0000000000182
685,3,0.05,0.024,-1190.0000000000364
16,5,0.042,0.01,-1210.0000000000036
686,3,0.052000000000000005,0.024,-1228.0000000000218
299,3,0.038,0.016,-1296.9999999999782
781,2,0.052000000000000005,0.026000000000000002,-1369.0000000000182
15,4,0.04,0.01,-1490.0000000000073
114,4,0.048,0.012,-1517.0
112,4,0.044000000000000004,0.012,-1675.0000000000182
18,5,0.046000000000000006,0.01,-1713.0000000000146
687,3,0.054,0.024,-1751.0000000000255
300,3,0.04,0.016,-1802.9999999999854
6,3,0.022,0.01,-1835.0000000000218
690,3,0.060000000000000005,0.024,-1926.0000000000182
782,3,0.054,0.026000000000000002,-1956.0000000000218
708,4,0.096,0.024,-2042.0000000000182
307,4,0.054,0.016,-2090.000000000011
785,3,0.060000000000000005,0.026000000000000002,-2176.0000000000073
110,4,0.04,0.012,-2196.0000000000146
707,4,0.094,0.024,-2203.000000000011
713,5,0.106,0.024,-2212.0000000000146
2629,3,0.138,0.064,-2214.0000000000073
315,5,0.06999999999999999,0.016,-2287.0000000000255
712,5,0.104,0.024,-2295.0000000000146
714,5,0.108,0.024,-2310.0000000000036
2627,3,0.134,0.064,-2341.000000000018
2628,3,0.136,0.064,-2341.000000000018
120,5,0.060000000000000005,0.012,-2343.000000000011
17,5,0.044000000000000004,0.01,-2399.0
789,3,0.068,0.026000000000000002,-2407.000000000018
2724,3,0.138,0.066,-2413.0000000000146
1370,3,0.09,0.038,-2430.0
1371,3,0.092,0.038,-2430.0
711,5,0.102,0.024,-2440.0000000000073
2723,3,0.136,0.066,-2455.000000000018
111,4,0.042,0.012,-2460.0000000000146
694,3,0.068,0.024,-2461.0000000000327
2828,3,0.156,0.068,-2463.0
2827,3,0.15400000000000003,0.068,-2463.0
990,3,0.09,0.03,-2468.0000000000073
2531,3,0.132,0.062000000000000006,-2481.0000000000073
2847,3,0.194,0.068,-2485.0000000000036
710,5,0.09999999999999999,0.024,-2510.0000000000073
2626,3,0.132,0.064,-2518.000000000011
14,4,0.038,0.01,-2521.000000000018
2722,3,0.134,0.066,-2551.000000000011
1368,3,0.086,0.038,-2555.0
1369,3,0.088,0.038,-2555.0
2530,3,0.13,0.062000000000000006,-2562.0000000000146
2529,3,0.128,0.062000000000000006,-2562.0000000000146
2624,2,0.128,0.064,-2563.0000000000073
2625,3,0.13,0.064,-2563.0000000000073
314,5,0.068,0.016,-2572.000000000022
1466,3,0.092,0.04,-2573.0000000000036
298,3,0.036000000000000004,0.016,-2579.999999999989
1273,3,0.086,0.036000000000000004,-2590.0
1896,4,0.192,0.048,-2607.999999999989
698,4,0.076,0.024,-2612.0
121,6,0.062000000000000006,0.012,-2624.000000000018
709,5,0.09799999999999999,0.024,-2626.0000000000073
327,6,0.094,0.016,-2632.0000000000073
328,6,0.096,0.016,-2632.0000000000073
2721,2,0.132,0.066,-2632.000000000011
783,3,0.056,0.026000000000000002,-2645.000000000022
2370,4,0.19,0.058,-2647.000000000018
325,6,0.09,0.016,-2669.0000000000073
1610,5,0.19,0.042,-2672.0000000000073
595,3,0.060000000000000005,0.022,-2676.0000000000036
1363,2,0.076,0.038,-2677.9999999999964
991,4,0.092,0.03,-2682.0000000000073
887,3,0.074,0.028000000000000004,-2684.0000000000146
802,4,0.094,0.026000000000000002,-2692.0000000000036
803,4,0.096,0.026000000000000002,-2692.0000000000036
1789,4,0.168,0.046000000000000006,-2693.000000000011
2845,3,0.19,0.068,-2695.0000000000073
1367,3,0.08399999999999999,0.038,-2710.0000000000036
984,3,0.078,0.03,-2719.0000000000073
2465,4,0.19,0.060000000000000005,-2720.000000000011
2826,3,0.15200000000000002,0.068,-2723.0
220,5,0.06999999999999999,0.014,-2725.000000000022
2369,4,0.188,0.058,-2728.000000000018
335,7,0.11,0.016,-2737.0000000000036
986,3,0.082,0.03,-2751.000000000018
2528,3,0.126,0.062000000000000006,-2754.0000000000073
2247,3,0.134,0.056,-2757.9999999999964
2825,3,0.15000000000000002,0.068,-2764.0
688,3,0.056,0.024,-2772.0000000000255
2844,3,0.188,0.068,-2776.0000000000073
306,4,0.052000000000000005,0.016,-2779.0000000000073
400,3,0.05,0.018000000000000002,-2783.0
326,6,0.092,0.016,-2786.0000000000073
1465,3,0.09,0.04,-2790.0000000000036
612,5,0.094,0.022,-2794.000000000022
332,7,0.104,0.016,-2795.0000000000036
1268,3,0.076,0.036000000000000004,-2805.0000000000036
590,3,0.05,0.022,-2815.0000000000146
2152,3,0.134,0.054,-2835.9999999999964
2464,4,0.188,0.060000000000000005,-2840.000000000018
808,5,0.106,0.026000000000000002,-2841.0000000000073
2824,3,0.14800000000000002,0.068,-2842.0
809,5,0.108,0.026000000000000002,-2842.0000000000036
591,3,0.052000000000000005,0.022,-2850.0000000000073
715,5,0.11,0.024,-2857.0000000000146
617,5,0.104,0.022,-2872.000000000018
689,3,0.058,0.024,-2873.0000000000255
2367,4,0.18400000000000002,0.058,-2880.0000000000146
2463,4,0.186,0.060000000000000005,-2880.0000000000146
2368,4,0.186,0.058,-2880.0000000000146
2462,4,0.18400000000000002,0.060000000000000005,-2880.0000000000146
304,3,0.048,0.016,-2883.9999999999964
982,3,0.074,0.03,-2893.000000000018
2351,3,0.15200000000000002,0.058,-2894.000000000011
2446,3,0.15200000000000002,0.060000000000000005,-2894.000000000011
2640,3,0.16,0.064,-2894.000000000018
979,3,0.068,0.03,-2909.0000000000146
331,7,0.102,0.016,-2924.000000000011
330,7,0.09999999999999999,0.016,-2924.000000000011
2842,3,0.18400000000000002,0.068,-2928.0000000000036
2843,3,0.186,0.068,-2928.0000000000036
989,3,0.088,0.03,-2934.0000000000036
2445,3,0.15000000000000002,0.060000000000000005,-2935.000000000011
2350,3,0.15000000000000002,0.058,-2935.000000000011
2823,3,0.14600000000000002,0.068,-2938.0
700,4,0.08,0.024,-2938.000000000022
305,4,0.05,0.016,-2939.0000000000073
983,3,0.076,0.03,-2940.000000000022
301,3,0.042,0.016,-2943.9999999999964
1800,5,0.19,0.046000000000000006,-2946.0
297,3,0.034,0.016,-2946.999999999978
2081,4,0.18200000000000002,0.052000000000000005,-2946.999999999989
611,5,0.092,0.022,-2949.000000000018
985,3,0.08,0.03,-2956.0000000000255
1001,4,0.112,0.03,-2977.000000000011
1170,3,0.06999999999999999,0.034,-2987.0000000000146
216,5,0.062000000000000006,0.014,-2993.000000000011
1002,4,0.114,0.03,-2998.0
